Timestamp,Which year are you in?,How are you feeling right now?,"On a scale of 1-100, how would you express this feeling?",Gender,Age,Your location ?,Relationship status,Are you happy with your financial state?,How much have you succeeded to cope up with the environment of your educational institution?,Understanding with your family members?,Are you feeling pressure in your study or work right now?,Are you satisfied with your academic result?,Are you happy with your living place?,Who supports you when you are not succeeding in your academic life?,Have you used any social media within the last 6 hours?,Do you have inferiority complex? ,Are you satisfied with your meal today?,Are you feeling sick/health issues today?,"Have you done any recreational activity (sports, gaming, hobby etc.) today?",How long did you sleep last night?(in hours)
,4th year,Normal,67,Male,23,Department,Single,No,5,Good,No,Yes,No,Friends,Yes,Maybe,Neutral,No,No,7
,4th year,Very good,96,Male,23,Department,Single,Yes,4,Good,No,No,Yes,Friends,Yes,No,Neutral,No,Yes,10
,4th year,Good,83,Male,23,Playground,Single,Yes,3,Normal,No,No,Yes,Family,Yes,No,Yes,No,No,7
,4th year,Very bad,17,Male,23,Hall-Mess,Single,Yes,1,Good,Yes,Yes,No,Family,Yes,Yes,Neutral,Yes,Yes,3
,4th year,Very bad,5,Male,23,Department,Single,Yes,2,Normal,Yes,No,Yes,Family,Yes,Maybe,Yes,No,Yes,6
,4th year,Normal,52,Male,23,Playground,Single,Yes,5,Good,Yes,Yes,No,Family,Yes,Maybe,Neutral,Yes,No,7
,4th year,Very bad,19,Male,23,Home,Single,No,2,Good,Yes,No,Yes,Family,Yes,Maybe,Neutral,Yes,Yes,4
,4th year,Bad,24,Male,23,Hall-Mess,Single,No,1,Bad,Yes,No,Yes,Family,Yes,No,No,Yes,No,6
,4th year,Very good,91,Male,23,Hall-Mess,Single,Yes,5,Normal,No,No,Yes,Friends,Yes,No,Yes,No,No,10
,4th year,Normal,52,Male,23,Playground,Single,Yes,5,Normal,Yes,Yes,No,Family,Yes,No,Neutral,Yes,No,7
,4th year,Very good,94,Male,23,Department,Single,Yes,4,Good,No,No,Yes,Friends,Yes,No,Yes,No,No,9
